date,general_cpi,food_beverages_cpi,clothing_cpi,housing_utilities_cpi,transport_cpi
2018-08-31,91.1743410057841,81.02644161877,100.93254273429,103.368308735152,83.2493729870084
2018-09-30,91.0722529528999,81.4515115623625,101.155056597446,102.724564224587,83.2112612977471
2018-10-31,90.8135010522173,81.655760378904,100.73126042405,101.890520148071,82.9600124534395
2018-11-30,90.6062893906822,81.5853812252609,100.608058699107,101.015906169797,83.0952905061793
2018-12-31,90.2839678314146,81.1336702767511,100.695539808501,100.200474007448,82.9478191639339
2019-01-31,89.4133783609983,81.9279684085637,100.312896862165,95.9036434981441,82.4831767445363
2019-02-28,89.2042475161829,81.7169098246508,100.341989191604,95.2866140439525,82.4370834489736
2019-03-31,89.1153371388409,81.8425433267849,100.443114446257,94.9754629704553,82.3351066350171
2019-04-30,89.1048627121574,81.9293254701995,100.248089670716,94.5306010779712,83.0426917057031
2019-05-31,89.1642630618909,82.1100937532675,101.194605548559,94.2127120616555,83.1060359430684
2019-06-30,89.3039085663095,82.2888182931289,100.936819326921,93.8331033279926,83.6150346984032
2019-07-31,89.4621800382776,82.0462915526176,100.70434624308,93.8302752575198,84.1445742623948
2019-08-31,89.5539022615785,82.743146963675,100.868949570107,93.4784340367523,83.9299088864635
2019-09-30,89.7510547047924,83.3774024140092,99.8592739729622,93.5697361490237,83.7765146486269
2019-10-31,89.6652285312904,83.5249169763713,99.7364763252619,93.3602454068908,83.5077622784556
2019-11-30,89.4924772351012,83.4395544372264,99.7036608944989,92.6581961602901,83.599798214693
2019-12-31,89.8999348462093,83.515026661136,100.033417785855,94.1504804359493,83.3942766715645
2020-01-31,89.7967380454326,83.398987806057,99.5435920295973,93.570238022073,83.3941922226161
2020-02-29,89.9759339286719,84.1844764294443,99.4554799478456,94.1908534312135,83.6884769223108
2020-03-31,90.0976785190243,84.738119587356,100.136704156014,93.8920538173855,83.8038130483072
2020-04-30,89.922977168917,86.332741667955,100.16105148595,93.4045040199184,80.6463059592571
2020-05-31,89.6430466554639,87.0823162457872,100.343830416924,93.2530994064435,77.3981486414902
2020-06-30,89.2929974566773,86.70315553904,99.0026622283572,92.5362515419451,76.6766377253161
