date,currency_outside_banks_mn_sar,demand_deposits_mn_sar,m1_mn_sar,time_savings_deposits_mn_sar,m2_mn_sar,other_quasi_money_mn_sar
2015-05-31,172397.52426462,1087032.913,1259430.4372646199,380332.098,1639762.5352646199,194446.357
2015-06-30,174016.5636936,1085079.376,1259095.9396936,377944.324,1637040.2636936,193908.667
2015-07-31,179052.89902313,1070536.029,1249588.9280231302,382136.458,1631725.3860231303,186087.528
2015-08-31,172180.82561613,1063494.06,1235674.88561613,386441.249,1622116.13461613,186314.09
2015-09-30,175145.86631435,1067325.841,1242471.70731435,411847.514,1654319.22131435,184640.235
2015-10-31,170848.03439156,1017129.241,1187977.27539156,408832.384,1596809.6593915601,186558.003
2015-11-30,168114.62575814998,1029233.201,1197347.82675815,420331.656,1617679.48275815,184082.782
2015-12-31,168491.79047888,980150.664,1148642.45447888,439377.329,1588019.7834788798,197562.28
2016-01-31,167364.46832426,988161.812,1155526.28032426,425196.319,1580722.59932426,195549.394
2016-02-29,167824.20504096002,982855.854,1150680.0590409602,416813.159,1567493.2180409601,194879.88231743002
